Date,Open,High,Low,Close,Adj Close,Volume
2018-09-06,117.889999,118.510002,115.139999,115.230003,93.432831,8191100
2018-09-07,114.519997,115.349998,113.389999,114.599998,92.922012,6637800
2018-09-10,115.430000,115.720001,114.379997,114.480003,92.824722,5870900
2018-09-11,114.339996,115.739998,113.760002,115.019997,93.262566,5605300
2018-09-12,116.419998,117.489998,115.760002,115.790001,93.886917,5067800
2018-09-13,116.010002,116.519997,115.080002,116.300003,94.300438,6297700
2018-09-14,116.430000,117.610001,116.349998,117.379997,95.176155,4947800
2018-09-17,117.610001,118.680000,117.279999,117.510002,95.281548,5560200
2018-09-18,118.500000,118.900002,117.980003,118.129997,95.784256,4966300
2018-09-19,118.330002,120.040001,118.120003,119.510002,96.903244,4855300
2018-09-20,120.190002,121.320000,119.110001,119.419998,96.830254,5846700
2018-09-21,119.910004,121.260002,119.410004,121.129997,98.216789,13703600
2018-09-24,121.910004,122.980003,121.570000,122.620003,99.424950,6534100
2018-09-25,123.500000,124.239998,122.940002,123.370003,100.033066,5396400
2018-09-26,122.989998,123.419998,121.739998,121.949997,98.881676,4231400
2018-09-27,122.160004,123.000000,121.709999,122.470001,99.303322,4533400
2018-09-28,121.989998,123.209999,121.760002,122.279999,99.149254,5202900
2018-10-01,123.110001,124.879997,123.110001,124.389999,100.860115,5348200
2018-10-02,125.070000,125.760002,124.320000,124.739998,101.143921,5445400
2018-10-03,125.129997,125.839996,124.779999,125.309998,101.606087,4479500
2018-10-04,124.790001,125.589996,124.190002,124.949997,101.314186,4824300
2018-10-05,124.930000,125.900002,124.739998,125.330002,101.622322,4318000
2018-10-08,124.050003,125.459999,123.830002,124.839996,101.224991,6267700
2018-10-09,125.510002,127.440002,125.070000,126.820000,102.830452,6797900
2018-10-10,127.230003,127.599998,122.459999,122.599998,99.408722,6504400
2018-10-11,122.430000,122.430000,117.540001,118.430000,96.027534,8589900
2018-10-12,119.529999,119.680000,116.180000,117.769997,95.492371,7450700
2018-10-15,117.699997,118.860001,116.910004,116.940002,94.819389,6047300
2018-10-16,117.089996,117.680000,116.339996,117.510002,95.281548,4846100
2018-10-17,117.209999,117.690002,116.019997,117.290001,95.103172,6978700
2018-10-18,117.419998,118.139999,116.050003,117.470001,95.249130,7391600
2018-10-19,117.370003,119.260002,117.370003,118.139999,95.792389,7944400
2018-10-22,118.099998,118.489998,116.480003,117.209999,95.038300,5644900
2018-10-23,115.720001,115.720001,112.050003,113.400002,91.949020,8095300
2018-10-24,113.720001,114.180000,110.070000,110.209999,89.362434,8035200
2018-10-25,111.360001,113.400002,110.430000,111.580002,90.473289,5734000
2018-10-26,110.629997,112.470001,109.660004,111.529999,90.432739,8035500
2018-10-29,112.040001,112.070000,107.540001,108.930000,88.324570,8598300
2018-10-30,109.620003,111.150002,108.150002,110.849998,89.881378,7523800
2018-10-31,111.709999,112.500000,111.050003,111.650002,90.530052,7429800
2018-11-01,111.769997,111.989998,110.099998,111.169998,90.140839,10572000
2018-11-02,114.849998,117.110001,113.120003,114.730003,93.027435,9890400
2018-11-05,116.620003,119.669998,116.599998,118.940002,96.441063,8758700
2018-11-06,118.760002,119.430000,117.849998,118.900002,96.408630,5273200
2018-11-07,120.000000,121.120003,119.019997,120.870003,98.005989,4848800
2018-11-08,120.650002,121.870003,118.959999,119.360001,96.781609,9532400
2018-11-09,118.220001,120.370003,117.370003,119.510002,96.903244,6565700
2018-11-12,120.900002,121.370003,117.169998,117.389999,95.184258,10550800
2018-11-13,117.300003,117.879997,115.040001,115.349998,93.530136,6846200
2018-11-14,116.879997,117.790001,114.940002,115.720001,93.830162,6783500
2018-11-15,113.660004,117.080002,112.720001,116.949997,95.754250,7218100
2018-11-16,117.500000,119.269997,117.269997,119.059998,97.481842,6706900
2018-11-19,118.139999,119.480003,117.900002,119.419998,97.776596,5328300
2018-11-20,119.239998,119.500000,115.040001,116.099998,95.058296,7983500
2018-11-21,116.680000,119.190002,116.680000,117.570000,96.261887,5624400
2018-11-23,114.699997,115.220001,112.110001,113.599998,93.011414,5577800
2018-11-26,114.599998,115.440002,114.019997,114.980003,94.141296,6953000
2018-11-27,114.550003,115.660004,114.220001,115.209999,94.329605,6339200
2018-11-28,114.980003,118.279999,114.400002,118.139999,96.728561,6841700
2018-11-29,117.949997,119.730003,117.739998,118.849998,97.309898,6656900
2018-11-30,118.050003,119.209999,117.699997,118.940002,97.383598,6712500
2018-12-03,120.769997,122.430000,120.059998,120.669998,98.800034,8237600
2018-12-04,120.599998,121.089996,117.070000,117.239998,95.991684,8288100
2018-12-06,115.339996,116.139999,113.029999,115.910004,94.902756,10715700
2018-12-07,117.589996,119.699997,115.190002,115.489998,94.558861,9114400
2018-12-10,115.300003,115.959999,111.669998,114.940002,94.108551,7674300
2018-12-11,116.260002,116.620003,113.949997,115.470001,94.542480,5929400
2018-12-12,117.110001,117.720001,115.570000,115.620003,94.665298,7891400
2018-12-13,115.150002,116.320000,114.309998,115.940002,94.927299,7030500
2018-12-14,115.010002,115.809998,113.309998,113.830002,93.199707,6195400
2018-12-17,113.440002,114.970001,111.860001,112.449997,92.069824,7132400
2018-12-18,112.629997,113.239998,108.949997,109.739998,89.850967,9658600
2018-12-19,109.910004,111.989998,107.099998,107.830002,88.287132,10472400
2018-12-20,106.809998,108.070000,104.190002,104.980003,85.953667,11612800
2018-12-21,103.620003,106.940002,102.910004,104.209999,85.323219,19912800
2018-12-24,103.300003,104.150002,100.910004,100.989998,82.686798,5619500
2018-12-26,101.849998,107.389999,100.220001,107.389999,87.926872,10779400
2018-12-27,105.470001,109.330002,104.879997,109.320000,89.507095,10655100
2018-12-28,109.650002,110.360001,108.120003,108.650002,88.958519,6445400
2018-12-31,109.150002,110.239998,107.860001,108.790001,89.073151,6309600
2019-01-02,107.339996,111.680000,107.099998,110.690002,90.628784,6384800
2019-01-03,111.059998,111.290001,108.070000,108.570000,88.893005,6496200
2019-01-04,110.279999,110.989998,109.470001,110.820000,90.735245,7952500
2019-01-07,111.059998,112.930000,109.919998,112.260002,91.914253,5712700
2019-01-08,113.400002,113.790001,111.669998,111.769997,91.513054,5674900
2019-01-09,112.690002,114.000000,112.449997,113.269997,92.741203,7097000
2019-01-10,112.510002,113.629997,111.709999,113.449997,92.888580,6078300
2019-01-11,113.000000,113.050003,111.669998,112.540001,92.143501,4491700
2019-01-14,111.339996,112.339996,111.080002,111.720001,91.472122,6121700
2019-01-15,111.980003,113.070000,111.510002,112.120003,91.799622,4226100
2019-01-16,111.430000,112.320000,111.220001,111.400002,91.210114,5624100
2019-01-17,110.750000,112.290001,110.169998,111.959999,91.668625,4442700
2019-01-18,113.989998,114.650002,113.059998,114.370003,93.641853,9382000
2019-01-22,113.120003,113.449997,111.949997,112.339996,91.979767,7242000
2019-01-23,112.379997,112.669998,110.419998,111.389999,91.201942,6082300
2019-01-24,111.029999,113.820000,110.910004,113.510002,92.937721,8470700
2019-01-25,114.059998,114.779999,112.989998,113.220001,92.700264,6261800
2019-01-28,111.910004,112.570000,111.070000,112.169998,91.840569,6886600
2019-01-29,113.029999,113.349998,111.769997,111.830002,91.562195,5359900
2019-01-30,112.529999,113.650002,111.980003,113.010002,92.528351,7941700
2019-01-31,113.800003,115.410004,113.379997,114.650002,93.871109,11225600
2019-02-01,116.650002,119.250000,116.599998,118.370003,96.916893,10934300
2019-02-04,117.500000,119.750000,116.309998,119.739998,98.038597,7987900
2019-02-05,119.620003,119.860001,118.690002,119.480003,97.825722,6887400
2019-02-06,119.000000,119.589996,118.690002,118.879997,97.334473,4990400
2019-02-07,118.010002,118.510002,116.510002,118.230003,96.802269,7281900
2019-02-08,117.739998,117.889999,115.919998,117.580002,96.270065,5671000
2019-02-11,116.930000,117.360001,116.389999,116.949997,95.754250,4859600
2019-02-12,118.330002,118.870003,117.610001,118.720001,97.203468,5400700
2019-02-13,119.160004,120.389999,118.699997,119.570000,97.899399,5935900
2019-02-14,118.370003,119.529999,117.660004,118.160004,97.717468,5406500
2019-02-15,119.620003,119.860001,118.589996,119.349998,98.701584,6209800
2019-02-19,118.900002,119.860001,118.459999,119.309998,98.668495,4277800
2019-02-20,119.309998,120.720001,119.000000,120.279999,99.470711,5940600
2019-02-21,120.070000,120.320000,118.389999,119.139999,98.527924,5139400
2019-02-22,120.279999,120.459999,118.849998,119.389999,98.734673,4517600
2019-02-25,119.410004,120.419998,119.370003,119.620003,98.924881,5196600
2019-02-26,119.809998,120.970001,119.680000,119.940002,99.189529,5445600
2019-02-27,120.290001,121.290001,119.889999,120.080002,99.305305,5289800
2019-02-28,120.000000,120.160004,118.489998,119.580002,98.891785,6406500
2019-03-01,120.389999,122.040001,120.169998,122.029999,100.917908,7743600
2019-03-04,122.669998,122.839996,120.550003,122.120003,100.992355,7499500
2019-03-05,121.870003,123.349998,121.589996,123.290001,101.959953,7345200
2019-03-06,123.169998,124.699997,122.300003,123.529999,102.158409,7599900
2019-03-07,123.419998,123.500000,121.699997,121.940002,100.843498,7201100
2019-03-08,120.099998,121.930000,119.199997,121.620003,100.578873,7014100
2019-03-11,122.870003,124.199997,122.750000,123.620003,102.232857,6088600
2019-03-12,123.839996,124.959999,123.379997,123.900002,102.464386,6184300
2019-03-13,124.599998,124.930000,123.900002,124.669998,103.101189,4707000
2019-03-14,124.760002,125.459999,124.480003,124.599998,103.043312,5146400
2019-03-15,124.589996,125.419998,124.349998,125.309998,103.630455,10449700
2019-03-18,125.209999,126.129997,125.169998,125.879997,104.101845,5586900
2019-03-19,126.559998,126.919998,124.739998,125.279999,103.605659,5096800
2019-03-20,125.040001,126.339996,124.680000,124.690002,103.117737,6708500
2019-03-21,124.870003,125.959999,124.510002,125.860001,104.085312,5050400
2019-03-22,124.849998,124.900002,122.699997,123.089996,101.794563,5786800
2019-03-25,122.930000,123.349998,122.309998,122.889999,101.629150,3837500
2019-03-26,123.769997,124.910004,123.379997,124.129997,102.654625,4079800
2019-03-27,123.980003,124.480003,122.019997,122.790001,101.546448,3727800
2019-03-28,122.599998,123.160004,122.360001,123.019997,101.736664,4057700
2019-03-29,124.279999,124.470001,122.489998,123.180000,101.868973,5318600
2019-04-01,123.870003,125.269997,123.449997,124.940002,103.324478,5506300
2019-04-02,125.199997,125.440002,124.110001,124.930000,103.316208,4362700
2019-04-03,125.220001,125.349998,123.540001,123.889999,102.456131,3595400
2019-04-04,124.010002,124.830002,123.550003,124.800003,103.208702,3715400
2019-04-05,125.250000,126.639999,125.199997,126.419998,104.548424,5551400
2019-04-08,126.769997,127.339996,126.230003,126.680000,104.763435,5483100
2019-04-09,126.290001,126.290001,125.120003,125.540001,103.820663,4143400
2019-04-10,126.139999,126.570000,125.129997,125.489998,103.779320,3970000
2019-04-11,125.339996,126.260002,124.750000,125.989998,104.192825,3248300
2019-04-12,121.580002,122.000000,119.000000,119.760002,99.040649,42693700
2019-04-15,120.019997,121.019997,119.330002,120.139999,99.354912,13369100
2019-04-16,120.430000,121.320000,120.059998,121.169998,100.206703,11942900
2019-04-17,122.199997,122.540001,120.050003,120.269997,99.462418,11898100
2019-04-18,120.519997,120.820000,119.099998,119.860001,99.123352,9546500
2019-04-22,120.779999,122.010002,120.449997,121.900002,100.810432,7946200
2019-04-23,121.730003,122.279999,121.349998,122.019997,100.909653,9079200
2019-04-24,121.349998,121.430000,118.089996,118.279999,97.816711,22115000
2019-04-25,118.050003,118.699997,117.400002,117.900002,97.502449,10636400
2019-04-26,118.400002,118.500000,115.650002,117.099998,96.840866,11626700
2019-04-29,117.010002,118.110001,116.699997,117.720001,97.353600,9404000
2019-04-30,121.099998,121.919998,119.650002,120.059998,99.288750,21431500
2019-05-01,119.800003,120.139999,117.760002,117.809998,97.428017,10097000
2019-05-02,117.279999,118.480003,116.279999,116.379997,96.245415,9495600
2019-05-03,117.690002,118.550003,117.110001,117.269997,96.981438,7364900
2019-05-06,117.500000,119.839996,117.470001,118.400002,97.915955,11035000
2019-05-07,117.300003,118.269997,116.500000,118.269997,97.808434,9165200
2019-05-08,118.370003,118.480003,117.400002,117.500000,97.171661,6229000
2019-05-09,121.120003,122.320000,119.860001,121.190002,100.223259,16496300
2019-05-10,121.169998,122.269997,119.830002,121.989998,100.884850,8787900
2019-05-13,121.910004,122.260002,120.010002,120.440002,99.603020,7701200
2019-05-14,120.669998,122.250000,120.510002,121.639999,100.595398,6858500
2019-05-15,121.199997,122.489998,120.870003,122.139999,101.008896,6945000
2019-05-16,120.989998,121.550003,120.529999,120.800003,100.883629,8543300
2019-05-17,120.059998,121.110001,119.879997,120.519997,100.649796,6870900
